"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 03:00:18 UTC 2023","Fri Dec 01 03:00:21 UTC 2023","3811","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 01 04:49:36 UTC 2023","Fri Dec 01 04:49:37 UTC 2023","1594","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Dec 01 03:35:03 UTC 2023","Fri Dec 01 03:35:30 UTC 2023","26284","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Dec 01 02:54:13 UTC 2023","Fri Dec 01 02:54:21 UTC 2023","7727","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Dec 01 02:45:20 UTC 2023","Fri Dec 01 02:45:25 UTC 2023","4377","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Dec 01 02:50:32 UTC 2023","Fri Dec 01 02:50:39 UTC 2023","7205","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Dec 01 04:13:43 UTC 2023","Fri Dec 01 04:13:45 UTC 2023","2915","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Dec 01 04:29:04 UTC 2023","Fri Dec 01 04:29:23 UTC 2023","18892","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Dec 01 03:07:30 UTC 2023","Fri Dec 01 03:07:38 UTC 2023","7365","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Dec 01 04:11:12 UTC 2023","Fri Dec 01 04:11:55 UTC 2023","43324","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Dec 01 02:58:27 UTC 2023","Fri Dec 01 02:58:36 UTC 2023","8784","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Dec 01 03:08:09 UTC 2023","Fri Dec 01 03:08:18 UTC 2023","8623","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Dec 01 02:49:54 UTC 2023","Fri Dec 01 02:50:06 UTC 2023","12015","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Dec 01 04:58:03 UTC 2023","Fri Dec 01 04:58:05 UTC 2023","1709","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Dec 01 03:08:18 UTC 2023","Fri Dec 01 03:08:21 UTC 2023","3324","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Dec 01 02:54:25 UTC 2023","Fri Dec 01 02:54:46 UTC 2023","20186","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 01 04:58:17 UTC 2023","Fri Dec 01 04:58:38 UTC 2023","21591","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Dec 01 03:07:42 UTC 2023","Fri Dec 01 03:07:53 UTC 2023","10740","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 01 04:24:32 UTC 2023","Fri Dec 01 04:24:47 UTC 2023","15072","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Dec 01 03:04:46 UTC 2023","Fri Dec 01 03:04:56 UTC 2023","10167","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 01 03:10:15 UTC 2023","Fri Dec 01 03:11:24 UTC 2023","69321","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Dec 01 03:40:12 UTC 2023","Fri Dec 01 03:40:13 UTC 2023","1412","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Dec 01 04:13:54 UTC 2023","Fri Dec 01 04:14:07 UTC 2023","13231","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Dec 01 04:49:30 UTC 2023","Fri Dec 01 04:49:35 UTC 2023","5841","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Dec 01 04:50:20 UTC 2023","Fri Dec 01 04:51:23 UTC 2023","63735","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Dec 01 04:24:56 UTC 2023","Fri Dec 01 04:24:59 UTC 2023","2375","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Dec 01 04:46:53 UTC 2023","Fri Dec 01 04:46:53 UTC 2023","15","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Dec 01 02:46:05 UTC 2023","Fri Dec 01 02:46:25 UTC 2023","19497","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Fri Dec 01 04:49:37 UTC 2023","Fri Dec 01 04:50:20 UTC 2023","42376","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Dec 01 03:01:15 UTC 2023","Fri Dec 01 03:01:16 UTC 2023","1314","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"broken","Fri Dec 01 03:47:02 UTC 2023","Fri Dec 01 03:47:02 UTC 2023","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Dec 01 04:17:57 UTC 2023","Fri Dec 01 04:18:10 UTC 2023","13435","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Dec 01 03:35:33 UTC 2023","Fri Dec 01 03:35:45 UTC 2023","11269","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Dec 01 03:04:20 UTC 2023","Fri Dec 01 03:04:34 UTC 2023","14352","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 01 02:56:30 UTC 2023","Fri Dec 01 02:56:31 UTC 2023","410","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Dec 01 02:50:12 UTC 2023","Fri Dec 01 02:50:32 UTC 2023","20456","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 01 02:49:38 UTC 2023","Fri Dec 01 02:49:54 UTC 2023","16064","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 01 04:13:36 UTC 2023","Fri Dec 01 04:13:40 UTC 2023","3704","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Dec 01 04:27:15 UTC 2023","Fri Dec 01 04:27:15 UTC 2023","321","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Dec 01 04:48:12 UTC 2023","Fri Dec 01 04:48:16 UTC 2023","4018","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Dec 01 02:44:02 UTC 2023","Fri Dec 01 02:44:18 UTC 2023","16037","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Dec 01 03:01:26 UTC 2023","Fri Dec 01 03:02:24 UTC 2023","57877","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Dec 01 02:50:06 UTC 2023","Fri Dec 01 02:50:12 UTC 2023","5877","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 01 04:27:09 UTC 2023","Fri Dec 01 04:27:15 UTC 2023","6514","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Dec 01 03:40:18 UTC 2023","Fri Dec 01 03:40:19 UTC 2023","1490","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Dec 01 02:59:02 UTC 2023","Fri Dec 01 02:59:09 UTC 2023","7524","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 01 02:54:46 UTC 2023","Fri Dec 01 02:54:51 UTC 2023","5866","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Dec 01 02:42:41 UTC 2023","Fri Dec 01 02:42:41 UTC 2023","27","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Dec 01 03:12:57 UTC 2023","Fri Dec 01 03:13:13 UTC 2023","15690","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Dec 01 02:55:59 UTC 2023","Fri Dec 01 02:56:13 UTC 2023","14533","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 01 04:13:23 UTC 2023","Fri Dec 01 04:13:36 UTC 2023","13376","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Dec 01 03:02:24 UTC 2023","Fri Dec 01 03:02:27 UTC 2023","3220","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Dec 01 04:47:43 UTC 2023","Fri Dec 01 04:47:48 UTC 2023","5301","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Dec 01 04:57:52 UTC 2023","Fri Dec 01 04:58:03 UTC 2023","10639","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Dec 01 03:05:12 UTC 2023","Fri Dec 01 03:05:14 UTC 2023","2531","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 01 02:44:29 UTC 2023","Fri Dec 01 02:44:57 UTC 2023","27343","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Dec 01 02:42:41 UTC 2023","Fri Dec 01 02:43:04 UTC 2023","23139","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Dec 01 04:47:13 UTC 2023","Fri Dec 01 04:47:39 UTC 2023","25834","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Dec 01 04:46:15 UTC 2023","Fri Dec 01 04:46:29 UTC 2023","13804","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Dec 01 02:52:06 UTC 2023","Fri Dec 01 02:52:16 UTC 2023","10464","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Dec 01 03:07:38 UTC 2023","Fri Dec 01 03:07:42 UTC 2023","4673","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Dec 01 02:53:57 UTC 2023","Fri Dec 01 02:54:13 UTC 2023","15328","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 01 04:14:18 UTC 2023","Fri Dec 01 04:14:20 UTC 2023","1973","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Dec 01 04:27:15 UTC 2023","Fri Dec 01 04:27:25 UTC 2023","9505","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Dec 01 03:34:40 UTC 2023","Fri Dec 01 03:34:52 UTC 2023","11676","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Dec 01 03:38:10 UTC 2023","Fri Dec 01 03:38:29 UTC 2023","18661","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Dec 01 03:35:32 UTC 2023","Fri Dec 01 03:35:33 UTC 2023","1177","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Dec 01 03:05:15 UTC 2023","Fri Dec 01 03:05:35 UTC 2023","20739","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Dec 01 02:43:30 UTC 2023","Fri Dec 01 02:43:52 UTC 2023","22106","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Dec 01 02:42:22 UTC 2023","Fri Dec 01 02:42:41 UTC 2023","19118","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 01 04:46:53 UTC 2023","Fri Dec 01 04:47:13 UTC 2023","20324","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Dec 01 04:18:10 UTC 2023","Fri Dec 01 04:22:25 UTC 2023","254952","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Dec 01 03:07:53 UTC 2023","Fri Dec 01 03:07:57 UTC 2023","3719","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 01 03:37:52 UTC 2023","Fri Dec 01 03:38:08 UTC 2023","15540","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Dec 01 04:07:41 UTC 2023","Fri Dec 01 04:07:51 UTC 2023","9880","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Dec 01 04:13:51 UTC 2023","Fri Dec 01 04:13:54 UTC 2023","2825","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Dec 01 04:48:16 UTC 2023","Fri Dec 01 04:49:26 UTC 2023","69998","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Dec 01 03:01:16 UTC 2023","Fri Dec 01 03:01:21 UTC 2023","5389","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Dec 01 02:52:01 UTC 2023","Fri Dec 01 02:52:05 UTC 2023","4357","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Dec 01 03:39:58 UTC 2023","Fri Dec 01 03:40:12 UTC 2023","13618","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Dec 01 02:46:31 UTC 2023","Fri Dec 01 02:47:35 UTC 2023","63797","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Dec 01 04:58:38 UTC 2023","Fri Dec 01 04:58:40 UTC 2023","1391","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Dec 01 02:52:05 UTC 2023","Fri Dec 01 02:52:06 UTC 2023","254","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Dec 01 04:27:27 UTC 2023","Fri Dec 01 04:27:28 UTC 2023","960","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Dec 01 03:04:42 UTC 2023","Fri Dec 01 03:04:46 UTC 2023","4694","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 01 03:05:35 UTC 2023","Fri Dec 01 03:05:37 UTC 2023","1631","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Dec 01 04:46:29 UTC 2023","Fri Dec 01 04:46:53 UTC 2023","24033","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Dec 01 03:34:53 UTC 2023","Fri Dec 01 03:35:03 UTC 2023","10848","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Dec 01 02:58:40 UTC 2023","Fri Dec 01 02:59:02 UTC 2023","21692","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Dec 01 02:58:11 UTC 2023","Fri Dec 01 02:58:27 UTC 2023","15504","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 01 03:01:22 UTC 2023","Fri Dec 01 03:01:26 UTC 2023","4276","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Dec 01 03:35:30 UTC 2023","Fri Dec 01 03:35:32 UTC 2023","2359","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Dec 01 04:14:07 UTC 2023","Fri Dec 01 04:14:18 UTC 2023","11058","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Dec 01 04:13:49 UTC 2023","Fri Dec 01 04:13:51 UTC 2023","2630","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Dec 01 04:07:51 UTC 2023","Fri Dec 01 04:07:53 UTC 2023","1651","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Dec 01 03:00:21 UTC 2023","Fri Dec 01 03:01:15 UTC 2023","53290","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Dec 01 04:49:26 UTC 2023","Fri Dec 01 04:49:30 UTC 2023","3467","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Dec 01 04:07:56 UTC 2023","Fri Dec 01 04:08:19 UTC 2023","23329","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 01 04:13:40 UTC 2023","Fri Dec 01 04:13:43 UTC 2023","2293","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Dec 01 03:05:37 UTC 2023","Fri Dec 01 03:05:37 UTC 2023","389","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Dec 01 02:56:27 UTC 2023","Fri Dec 01 02:56:30 UTC 2023","3027","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Dec 01 04:26:54 UTC 2023","Fri Dec 01 04:27:08 UTC 2023","14642","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Dec 01 04:27:25 UTC 2023","Fri Dec 01 04:27:27 UTC 2023","2479","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Dec 01 04:58:05 UTC 2023","Fri Dec 01 04:58:08 UTC 2023","2958","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Dec 01 03:35:45 UTC 2023","Fri Dec 01 03:35:45 UTC 2023","782","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Dec 01 03:04:56 UTC 2023","Fri Dec 01 03:05:00 UTC 2023","3521","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 01 02:52:16 UTC 2023","Fri Dec 01 02:52:17 UTC 2023","545","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Dec 01 03:34:52 UTC 2023","Fri Dec 01 03:34:53 UTC 2023","261","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Dec 01 02:50:39 UTC 2023","Fri Dec 01 02:50:48 UTC 2023","8611","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Dec 01 02:56:13 UTC 2023","Fri Dec 01 02:56:27 UTC 2023","13684","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Dec 01 02:43:04 UTC 2023","Fri Dec 01 02:43:30 UTC 2023","25294","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Dec 01 04:47:39 UTC 2023","Fri Dec 01 04:47:43 UTC 2023","3440","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Dec 01 04:28:58 UTC 2023","Fri Dec 01 04:29:04 UTC 2023","6412","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Dec 01 02:43:52 UTC 2023","Fri Dec 01 02:44:02 UTC 2023","10265","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Dec 01 02:44:18 UTC 2023","Fri Dec 01 02:44:29 UTC 2023","11148","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Dec 01 04:08:19 UTC 2023","Fri Dec 01 04:08:21 UTC 2023","1596","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Dec 01 03:38:08 UTC 2023","Fri Dec 01 03:38:10 UTC 2023","2678","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Fri Dec 01 02:43:04 UTC 2023","Fri Dec 01 02:43:04 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Fri Dec 01 02:54:21 UTC 2023","Fri Dec 01 02:54:25 UTC 2023","4781","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 01 03:38:10 UTC 2023","Fri Dec 01 03:38:10 UTC 2023","196","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Dec 01 03:07:14 UTC 2023","Fri Dec 01 03:07:30 UTC 2023","15730","","6. Company Account","","","","1. Validate login credentials",""
"passed","Fri Dec 01 03:04:35 UTC 2023","Fri Dec 01 03:04:42 UTC 2023","6919","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Dec 01 02:46:25 UTC 2023","Fri Dec 01 02:46:31 UTC 2023","6191","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Dec 01 04:08:21 UTC 2023","Fri Dec 01 04:09:07 UTC 2023","46524","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Dec 01 03:40:13 UTC 2023","Fri Dec 01 03:40:18 UTC 2023","4769","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Dec 01 04:24:47 UTC 2023","Fri Dec 01 04:24:56 UTC 2023","9519","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Dec 01 02:58:36 UTC 2023","Fri Dec 01 02:58:40 UTC 2023","4073","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 01 04:27:28 UTC 2023","Fri Dec 01 04:27:29 UTC 2023","902","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Dec 01 03:08:21 UTC 2023","Fri Dec 01 03:08:22 UTC 2023","377","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Dec 01 04:58:08 UTC 2023","Fri Dec 01 04:58:17 UTC 2023","8844","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Dec 01 04:13:46 UTC 2023","Fri Dec 01 04:13:49 UTC 2023","3092","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Dec 01 04:07:53 UTC 2023","Fri Dec 01 04:07:56 UTC 2023","2852","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Dec 01 04:24:59 UTC 2023","Fri Dec 01 04:25:09 UTC 2023","10167","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Dec 01 03:08:07 UTC 2023","Fri Dec 01 03:08:09 UTC 2023","2015","","6. Company Account","","","","6. Review Review Page",""
